0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:43 +0300] "GET /Myynti/asiakkaat/haeyksi/undefined HTTP/1.1" 500 1276
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:48 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:48 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:50 +0300] "GET /Myynti/lisaaasiakas.jsp HTTP/1.1" 200 2888
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:51 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:51 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:52 +0300] "GET /Myynti/muutaasiakas.jsp?asikas_id=1 HTTP/1.1" 200 3460
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:52 +0300] "GET /Myynti/asiakkaat/haeyksi/undefined HTTP/1.1" 500 1276
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:54 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:54 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:19:17:40 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [08/May/2022:19:17:40 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:19:17:41 +0300] "GET /Myynti/muutaasiakas.jsp?asikas_id=1 HTTP/1.1" 200 3470
0:0:0:0:0:0:0:1 - - [08/May/2022:19:17:41 +0300] "GET /Myynti/asiakkaat/haeyksi/undefined HTTP/1.1" 500 1276
